player_name,age,team,position,games,games_started,minutes,pts,ast,orb,drb,trb,stl,blk
Deni Avdija,24,POR,SF,72,54,30.0,16.9,3.9,1.5,5.7,7.3,1.0,0.5
Coby White,24,CHI,SG,74,73,33.1,20.4,4.5,0.3,3.4,3.7,0.9,0.2
Julian Champagnie,23,SAS,SF,82,29,23.6,9.9,1.4,0.8,3.1,3.9,0.7,0.4
Jaren Jackson Jr.,25,MEM,C,74,74,29.8,22.2,2.0,1.2,4.4,5.6,1.2,1.5
Yves Missi,20,NOP,C,73,67,26.8,9.1,1.4,3.5,4.7,8.2,0.5,1.3
Chris Paul,39,SAS,PG,82,82,28.0,8.8,7.4,0.4,3.2,3.6,1.3,0.3
Anthony Edwards,23,MIN,SG,79,79,36.3,27.6,4.5,0.8,4.9,5.7,1.2,0.6
Buddy Hield,32,GSW,SG,82,22,22.7,11.1,1.6,0.6,2.6,3.2,0.8,0.3
Moses Moody,22,GSW,SG,74,34,22.3,9.8,1.3,0.7,1.9,2.6,0.8,0.4
Jordan Poole,25,WAS,SG,68,68,29.4,20.5,4.5,0.5,2.5,3.0,1.3,0.4
Kentavious Caldwell-Pope,31,ORL,SG,77,77,29.6,8.7,1.8,0.4,1.8,2.2,1.3,0.4
Jamal Murray,27,DEN,PG,67,67,36.1,21.4,6.0,0.7,3.2,3.9,1.4,0.5
Josh Green,24,CHO,SG,68,67,27.8,7.4,1.6,0.8,1.7,2.5,1.1,0.2
Julius Randle,30,MIN,PF,69,69,32.3,18.7,4.7,2.1,5.0,7.1,0.7,0.2
Matas Buzelis,20,CHI,SF,80,31,18.9,8.6,1.0,0.7,2.8,3.5,0.4,0.9
Keldon Johnson,25,SAS,SF,77,0,23.9,12.7,1.6,1.5,3.4,4.8,0.6,0.3
Keegan Murray,24,SAC,PF,76,76,34.3,12.4,1.4,1.9,4.8,6.7,0.8,0.9
Jaden McDaniels,24,MIN,PF,82,82,31.9,12.2,2.0,1.6,4.2,5.7,1.3,0.9
Jayson Tatum,26,BOS,PF,72,72,36.4,26.8,6.0,0.7,8.0,8.7,1.1,0.5
Zaccharie Risacher,19,ATL,SF,75,73,24.6,12.6,1.2,1.1,2.4,3.6,0.7,0.5
Jalen Williams,23,OKC,SG,69,69,32.4,21.6,5.1,0.9,4.5,5.3,1.6,0.7
Jeremiah Robinson-Earl,24,NOP,PF,66,9,18.8,6.3,1.3,1.7,3.1,4.8,0.6,0.1
Dyson Daniels,21,ATL,SG,76,76,33.8,14.1,4.4,1.6,4.3,5.9,3.0,0.7
Kevin Huerter,26,2TM,SG,69,31,24.3,9.9,2.3,0.4,2.5,3.0,1.0,0.3
Klay Thompson,34,DAL,SF,72,72,27.3,14.0,2.0,0.6,2.8,3.4,0.7,0.4
Mike Conley,37,MIN,PG,71,64,24.7,8.2,4.5,0.5,2.1,2.6,1.1,0.2
Tobias Harris,32,DET,PF,73,73,31.6,13.7,2.2,0.9,5.0,5.9,1.0,0.8
Julian Phillips,21,CHI,SF,79,5,14.2,4.6,0.5,0.8,1.3,2.1,0.5,0.3
Peyton Watson,22,DEN,SF,68,18,24.4,8.1,1.4,0.7,2.7,3.4,0.7,1.4
Dillon Brooks,29,HOU,SF,75,75,31.8,14.0,1.7,1.0,2.7,3.7,0.8,0.2
T.J. McConnell,32,IND,PG,79,1,17.9,9.1,4.4,0.6,1.9,2.4,1.1,0.3
Donovan Mitchell,28,CLE,SG,71,71,31.4,24.0,5.0,0.8,3.7,4.5,1.3,0.2
Josh Giddey,22,CHI,PG,70,69,30.2,14.6,7.2,1.8,6.3,8.1,1.2,0.6
Gabe Vincent,28,LAL,PG,72,11,21.2,6.4,1.4,0.3,1.0,1.3,0.7,0.2
Julian Strawther,22,DEN,SG,65,4,21.3,9.0,1.3,0.3,1.9,2.2,0.6,0.2
Tim Hardaway Jr.,32,DET,SG,77,77,28.0,11.0,1.6,0.2,2.1,2.4,0.5,0.1
Trey Lyles,29,SAC,PF,69,5,19.6,6.5,1.2,1.2,3.4,4.6,0.6,0.3
Jaylen Wells,21,MEM,SG,79,74,25.9,10.4,1.7,1.1,2.3,3.4,0.6,0.1
Kris Dunn,30,LAC,PG,74,58,24.1,6.4,2.8,0.7,2.7,3.4,1.7,0.4
Devin Booker,28,PHO,SG,75,75,37.3,25.6,7.1,1.0,3.1,4.1,0.9,0.2
Max Christie,21,2TM,SG,78,36,27.3,9.6,1.9,0.5,2.8,3.3,0.8,0.4
Bam Adebayo,27,MIA,C,78,78,34.3,18.1,4.3,2.4,7.2,9.6,1.3,0.7
Cade Cunningham,23,DET,PG,70,70,35.0,26.1,9.1,0.8,5.3,6.1,1.0,0.8
