player_name,age,team,position,games,games_started,minutes,fg_made,fg_atp,fg_pct,three_made,three_atp,three_pct,two_made,two_atp,two_pct,efg_pct,ft_made,ft_atp,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Max Christie,21,2TM,SG,78,36,27.3,3.2,7.6,427,1.5,4.0,366,1.8,3.5,496,525,1.7,1.9,855,0.5,2.8,3.3,1.9,0.8,0.4,1.1,1.5,9.6
Bam Adebayo,27,MIA,C,78,78,34.3,6.9,14.3,485,1.0,2.8,357,5.9,11.4,517,521,3.2,4.2,765,2.4,7.2,9.6,4.3,1.3,0.7,2.1,2.1,18.1
Cade Cunningham,23,DET,PG,70,70,35.0,9.8,20.8,469,2.1,6.0,356,7.6,14.8,515,521,4.5,5.3,846,0.8,5.3,6.1,9.1,1.0,0.8,4.4,2.8,26.1
Anfernee Simons,25,POR,SG,70,70,32.7,6.8,16.1,426,3.1,8.5,363,3.8,7.6,496,521,2.5,2.8,902,0.4,2.3,2.7,4.8,0.9,0.1,2.0,1.7,19.3
Shaedon Sharpe,21,POR,SG,72,52,31.3,6.9,15.3,452,2.0,6.6,311,4.9,8.8,557,519,2.6,3.4,785,0.9,3.6,4.5,2.8,0.9,0.2,2.1,1.7,18.5
Kevon Looney,28,GSW,C,76,6,15.0,1.9,3.7,514,0.0,0.1,400,1.9,3.6,516,518,0.7,1.3,566,2.4,3.6,6.1,1.6,0.6,0.5,0.5,2.0,4.5
Ron Holland,19,DET,SF,81,2,15.6,2.4,5.1,474,0.4,1.9,238,2.0,3.3,608,517,1.1,1.5,754,0.5,2.2,2.7,1.0,0.6,0.2,0.9,1.7,6.4
Dalen Terry,22,CHI,SG,73,5,13.5,1.6,3.7,448,0.5,1.4,356,1.1,2.2,506,517,0.7,0.9,710,0.5,1.2,1.7,1.3,0.6,0.2,0.7,1.6,4.5
Ryan Dunn,22,PHO,SF,74,44,19.1,2.8,6.4,430,1.1,3.6,311,1.7,2.9,577,516,0.3,0.5,487,1.2,2.4,3.6,0.8,0.6,0.5,0.5,2.2,6.9
Bennedict Mathurin,22,IND,SF,72,49,29.8,5.4,11.8,458,1.4,4.0,340,4.1,7.8,519,516,3.8,4.6,831,1.2,4.1,5.3,1.9,0.7,0.3,1.9,2.3,16.1
Malik Monk,26,SAC,SG,65,45,31.6,6.3,14.4,439,2.1,6.6,325,4.2,7.9,534,513,2.4,2.7,865,0.5,3.3,3.8,5.6,0.9,0.6,2.4,2.4,17.2
Javonte Green,31,2TM,SG,68,19,18.5,1.8,4.2,429,0.7,2.1,326,1.1,2.1,527,509,0.8,1.1,724,0.9,2.3,3.2,0.8,1.0,0.5,0.5,1.4,5.1
DeMar DeRozan,35,SAC,SF,77,77,35.9,8.1,17.0,477,1.1,3.3,328,7.0,13.7,513,509,4.9,5.7,857,0.6,3.2,3.9,4.4,0.8,0.4,1.4,1.9,22.2
Andrew Nembhard,25,IND,SG,65,65,28.9,3.8,8.3,458,0.8,2.7,291,3.0,5.6,538,506,1.7,2.1,794,0.5,2.8,3.3,5.0,1.2,0.2,1.7,2.3,10.0
Cameron Payne,30,NYK,PG,72,5,15.1,2.5,6.2,401,1.3,3.6,363,1.2,2.6,453,506,0.7,0.8,907,0.2,1.3,1.4,2.8,0.5,0.2,0.7,1.5,6.9
