player_name,age,team,position,games,games_started,minutes,fg_made,fg_atp,fg_pct,three_made,three_atp,three_pct,two_made,two_atp,two_pct,efg_pct,ft_made,ft_atp,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Myles Turner,28,IND,C,72,72,30.2,5.4,11.3,481,2.2,5.5,396,3.3,5.8,561,577,2.6,3.3,773,1.3,5.3,6.5,1.5,0.8,2.0,1.7,2.5,15.6
Kyle Filipowski,21,UTA,C,72,27,21.1,3.6,7.2,502,1.1,3.1,350,2.5,4.1,614,576,1.3,2.0,650,1.6,4.6,6.1,1.9,0.7,0.3,1.4,2.4,9.6
Santi Aldama,24,MEM,PF,65,16,25.5,4.8,10.0,483,1.8,5.0,368,3.0,5.0,599,576,1.0,1.4,691,1.4,5.0,6.4,2.9,0.8,0.4,1.1,1.2,12.5
Dalton Knecht,23,LAL,SF,78,16,19.2,3.3,7.1,461,1.6,4.4,376,1.7,2.8,594,576,0.8,1.1,762,0.5,2.3,2.8,0.8,0.3,0.1,0.5,1.2,9.1
Kenrich Williams,30,OKC,PF,69,7,16.4,2.5,5.1,483,1.0,2.5,386,1.5,2.7,574,576,0.4,0.6,718,0.9,2.6,3.5,1.4,0.6,0.1,0.6,1.6,6.3
Jarace Walker,21,IND,PF,75,5,15.8,2.3,4.8,472,1.0,2.5,405,1.3,2.3,543,576,0.6,0.9,667,0.3,2.7,3.1,1.5,0.7,0.3,1.0,1.5,6.1
Amen Thompson,22,HOU,SF,69,42,32.2,5.6,10.1,557,0.4,1.3,275,5.3,8.8,599,575,2.4,3.6,684,2.8,5.4,8.2,3.8,1.4,1.3,2.0,2.4,14.1
Haywood Highsmith,28,MIA,SF,74,42,24.6,2.4,5.3,458,1.2,3.1,382,1.2,2.1,570,572,0.4,0.6,721,1.0,2.4,3.4,1.5,0.9,0.5,0.7,2.2,6.5
Pascal Siakam,30,IND,PF,78,78,32.7,7.9,15.2,519,1.6,4.2,389,6.2,11.0,568,572,2.9,3.9,734,1.7,5.2,6.9,3.4,0.9,0.5,1.4,2.4,20.2
Stephen Curry,36,GSW,PG,70,70,32.2,8.1,18.0,448,4.4,11.2,397,3.6,6.8,534,572,4.0,4.3,933,0.6,3.9,4.4,6.0,1.1,0.4,2.9,1.4,24.5
LeBron James,40,LAL,SF,70,70,34.9,9.3,18.1,513,2.1,5.7,376,7.2,12.5,574,571,3.7,4.7,782,1.0,6.8,7.8,8.2,1.0,0.6,3.7,1.4,24.4
Mikal Bridges,28,NYK,SF,82,82,37.0,7.2,14.4,500,2.0,5.6,354,5.2,8.8,594,570,1.2,1.4,814,0.9,2.3,3.2,3.7,0.9,0.5,1.6,1.5,17.6
Amir Coffey,27,LAC,SG,72,13,24.3,3.3,7.1,471,1.4,3.4,409,1.9,3.7,529,570,1.6,1.8,891,0.4,1.8,2.2,1.1,0.6,0.1,0.6,1.7,9.7
Tyus Jones,28,PHO,PG,81,58,26.8,3.8,8.4,448,2.0,5.0,414,1.7,3.5,496,570,0.6,0.7,895,0.5,1.9,2.4,5.3,0.9,0.1,1.1,0.8,10.2
Terance Mann,28,2TM,SG,67,13,21.1,3.1,6.2,496,0.9,2.4,368,2.2,3.7,580,569,0.7,1.0,691,1.0,2.0,3.0,1.8,0.7,0.2,0.7,1.9,7.7
Shai Gilgeous-Alexander,26,OKC,PG,76,76,34.2,11.3,21.8,519,2.1,5.7,375,9.2,16.1,571,569,7.9,8.8,898,0.9,4.1,5.0,6.4,1.7,1.0,2.4,2.2,32.7
Nic Claxton,25,BRK,C,70,62,26.9,4.6,8.1,563,0.1,0.3,238,4.5,7.8,576,568,1.1,2.2,513,2.2,5.1,7.4,2.2,0.9,1.4,1.2,2.1,10.3
Gary Trent Jr.,26,MIL,SG,74,9,25.6,3.8,8.9,431,2.4,5.9,416,1.4,3.0,460,568,1.1,1.2,848,0.3,2.0,2.3,1.2,1.0,0.1,0.6,1.7,11.1
Sam Merrill,28,CLE,SG,71,4,19.7,2.4,6.0,406,1.9,5.2,372,0.5,0.8,625,567,0.4,0.4,966,0.5,1.7,2.2,1.5,0.7,0.2,0.5,1.7,7.2
Quentin Grimes,24,2TM,SG,75,37,26.8,5.1,11.0,467,2.2,5.6,385,3.0,5.4,552,565,2.2,2.9,757,0.8,3.5,4.3,3.0,1.0,0.3,1.9,1.8,14.6
Desmond Bane,26,MEM,SG,69,68,32.0,7.1,14.8,484,2.4,6.1,392,4.8,8.7,548,565,2.6,2.9,894,0.9,5.2,6.1,5.3,1.2,0.4,2.4,2.4,19.2
Jake LaRavia,23,2TM,PF,66,0,20.4,2.4,5.1,475,0.9,2.2,423,1.5,3.0,513,564,1.2,1.7,678,1.4,2.6,3.9,2.4,0.9,0.3,1.3,2.0,6.9
Tyler Herro,25,MIA,SG,77,77,35.4,8.5,17.9,472,3.3,8.7,375,5.2,9.2,565,563,3.7,4.2,878,0.5,4.7,5.2,5.5,0.9,0.2,2.6,1.1,23.9
Darius Garland,25,CLE,PG,75,75,30.7,7.4,15.7,472,2.8,7.1,401,4.6,8.6,530,562,3.0,3.4,878,0.6,2.2,2.9,6.7,1.2,0.1,2.5,1.9,20.6
Donovan Clingan,20,POR,C,67,37,19.8,2.7,5.0,539,0.2,0.7,286,2.5,4.3,582,560,0.9,1.6,596,3.2,4.6,7.9,1.1,0.5,1.6,1.1,2.8,6.5
OG Anunoby,27,NYK,PF,74,74,36.6,6.6,13.9,476,2.3,6.2,372,4.3,7.7,561,559,2.5,3.1,810,1.3,3.5,4.8,2.2,1.5,0.9,1.4,2.3,18.0
Jonas Valančiūnas,32,2TM,C,81,21,18.8,4.3,7.7,550,0.1,0.5,216,4.2,7.3,571,557,1.8,2.0,879,2.3,5.4,7.7,2.0,0.5,0.6,1.5,2.2,10.4
Davion Mitchell,26,2TM,PG,74,37,27.4,3.0,6.4,468,1.1,2.9,398,1.9,3.6,525,557,0.8,1.1,690,0.5,1.8,2.3,4.9,1.0,0.2,1.7,2.5,7.9
Austin Reaves,26,LAL,SG,73,73,34.9,6.5,14.2,460,2.7,7.3,377,3.8,6.9,547,556,4.4,5.0,877,0.8,3.7,4.5,5.8,1.1,0.3,2.4,2.1,20.2
Naz Reid,25,MIN,C,80,17,27.5,5.3,11.5,462,2.2,5.8,379,3.1,5.8,544,556,1.4,1.8,776,1.2,4.9,6.0,2.3,0.7,0.9,1.4,2.4,14.2
Andre Jackson Jr.,23,MIL,SG,67,43,14.6,1.4,2.9,477,0.4,1.1,395,1.0,1.8,529,553,0.2,0.4,500,1.0,1.7,2.7,1.2,0.5,0.2,0.9,1.7,3.4
Scotty Pippen Jr.,24,MEM,PG,79,21,21.3,3.6,7.5,480,1.1,2.8,397,2.5,4.7,528,553,1.5,2.2,713,0.8,2.5,3.3,4.4,1.3,0.4,1.7,2.6,9.9
Nickeil Alexander-Walker,26,MIN,SG,82,10,25.3,3.3,7.5,438,1.7,4.5,381,1.6,3.0,524,553,1.1,1.4,780,0.7,2.6,3.2,2.7,0.6,0.4,1.2,1.7,9.4
Toumani Camara,24,POR,PF,78,78,32.7,4.2,9.2,458,1.7,4.6,375,2.5,4.6,542,552,1.2,1.6,722,2.2,3.6,5.8,2.2,1.5,0.6,1.4,2.9,11.3
Naji Marshall,27,DAL,SF,69,31,27.8,5.2,10.3,508,0.9,3.2,275,4.4,7.2,611,551,1.9,2.3,813,1.1,3.7,4.8,3.0,1.0,0.2,1.6,1.6,13.2
Jalen Brunson,28,NYK,PG,65,65,35.4,9.0,18.5,488,2.3,6.1,383,6.7,12.4,539,551,5.7,6.9,821,0.4,2.5,2.9,7.3,0.9,0.1,2.5,2.1,26.0
Cason Wallace,21,OKC,SG,68,43,27.6,3.4,7.2,474,1.1,3.1,356,2.3,4.1,562,550,0.4,0.5,811,1.0,2.3,3.4,2.5,1.8,0.5,0.9,2.1,8.4
Deni Avdija,24,POR,SF,72,54,30.0,5.6,11.7,476,1.7,4.8,365,3.8,7.0,552,550,4.0,5.2,780,1.5,5.7,7.3,3.9,1.0,0.5,2.7,2.4,16.9
Coby White,24,CHI,SG,74,73,33.1,6.9,15.1,453,2.9,7.9,370,3.9,7.3,544,550,3.7,4.1,902,0.3,3.4,3.7,4.5,0.9,0.2,2.4,2.1,20.4
Julian Champagnie,23,SAS,SF,82,29,23.6,3.4,8.1,415,2.2,5.9,371,1.2,2.3,530,549,1.0,1.1,904,0.8,3.1,3.9,1.4,0.7,0.4,0.9,1.4,9.9
Jaren Jackson Jr.,25,MEM,C,74,74,29.8,8.0,16.4,488,2.0,5.3,375,6.0,11.1,541,548,4.2,5.4,781,1.2,4.4,5.6,2.0,1.2,1.5,2.1,3.5,22.2
Yves Missi,20,NOP,C,73,67,26.8,3.7,6.7,547,0.0,0.0,0,3.7,6.7,548,547,1.7,2.8,623,3.5,4.7,8.2,1.4,0.5,1.3,1.1,2.0,9.1
Chris Paul,39,SAS,PG,82,82,28.0,3.0,7.1,427,1.7,4.5,377,1.3,2.6,514,547,1.0,1.1,924,0.4,3.2,3.6,7.4,1.3,0.3,1.6,1.8,8.8
Anthony Edwards,23,MIN,SG,79,79,36.3,9.1,20.4,447,4.1,10.3,395,5.1,10.1,501,547,5.3,6.3,837,0.8,4.9,5.7,4.5,1.2,0.6,3.2,1.9,27.6
Buddy Hield,32,GSW,SG,82,22,22.7,4.0,9.6,417,2.5,6.7,370,1.5,2.9,527,546,0.6,0.8,828,0.6,2.6,3.2,1.6,0.8,0.3,1.1,1.6,11.1
Moses Moody,22,GSW,SG,74,34,22.3,3.3,7.7,433,1.7,4.6,374,1.6,3.1,519,544,1.4,1.8,797,0.7,1.9,2.6,1.3,0.8,0.4,0.7,1.6,9.8
Jordan Poole,25,WAS,SG,68,68,29.4,6.7,15.5,432,3.5,9.1,378,3.3,6.4,510,544,3.6,4.0,883,0.5,2.5,3.0,4.5,1.3,0.4,3.0,3.0,20.5
Kentavious Caldwell-Pope,31,ORL,SG,77,77,29.6,3.1,7.1,439,1.5,4.3,342,1.6,2.8,589,543,1.1,1.2,863,0.4,1.8,2.2,1.8,1.3,0.4,0.8,1.8,8.7
